source_family,n_splits
gmy_000003,3
gmy_000327,3
gmy_001330,3
gmy_002757,3
gmy_000687,3
gmy_002517,3
gmy_002751,3
gmy_002031,3
gmy_002029,3
gmy_002026,3
gmy_000293,3
gmy_000670,3
gmy_000295,3
gmy_001736,3
gmy_001738,3
gmy_001742,3
gmy_002702,3
gmy_000308,3
gmy_001744,3
gmy_000314,3
gmy_001753,3
gmy_001710,3
gmy_001337,3
gmy_000255,3
gmy_001683,3
gmy_001378,3
gmy_002821,3
gmy_001677,3
gmy_002812,3
gmy_002316,3
gmy_001373,3
gmy_000220,3
gmy_000221,3
gmy_001368,3
gmy_001339,3
gmy_002320,3
gmy_001699,3
gmy_000698,3
gmy_002783,3
gmy_001351,3
gmy_002771,3
gmy_001343,3
gmy_002055,3
gmy_001756,3
gmy_001020,3
gmy_001671,3
gmy_002682,3
gmy_000562,3
gmy_002461,3
gmy_002462,3
gmy_001205,3
gmy_000419,3
gmy_001204,3
gmy_001937,3
gmy_000553,3
gmy_000551,3
gmy_000544,3
gmy_001181,3
gmy_000441,3
gmy_000535,3
gmy_002545,3
gmy_002544,3
gmy_001876,3
gmy_000512,3
gmy_001130,3
gmy_002512,3
gmy_002459,3
gmy_000564,3
gmy_002602,3
gmy_000627,3
gmy_000653,3
gmy_002680,3
gmy_001277,3
gmy_000339,3
gmy_000641,3
gmy_000349,3
gmy_002401,3
gmy_001267,3
gmy_000359,3
gmy_001072,3
gmy_000361,3
gmy_001038,3
gmy_001248,3
gmy_001238,3
gmy_000393,3
gmy_000394,3
gmy_001231,3
gmy_002449,3
gmy_000722,3
gmy_002521,3
gmy_000087,3
gmy_002991,3
gmy_002265,3
gmy_000137,3
gmy_002884,3
gmy_001623,3
gmy_002260,3
gmy_000778,3
gmy_002254,3
gmy_000920,3
gmy_002901,3
gmy_002252,3
gmy_000120,3
gmy_000841,3
gmy_000032,3
gmy_002244,3
gmy_000839,3
gmy_002145,3
gmy_001494,3
gmy_000834,3
gmy_002113,3
gmy_002236,3
gmy_000101,3
gmy_002963,3
gmy_002962,3
gmy_000095,3
gmy_001591,3
gmy_000907,3
gmy_000079,3
gmy_001566,3
gmy_002230,3
gmy_000143,3
gmy_001545,3
gmy_002288,3
gmy_000193,3
gmy_000874,3
gmy_000933,3
gmy_000948,3
gmy_000732,3
gmy_000947,3
gmy_000945,3
gmy_001407,3
gmy_000188,3
gmy_002089,3
gmy_002862,3
gmy_002832,3
gmy_000956,3
gmy_000761,3
gmy_002135,2
gmy_002156,2
gmy_001899,2
gmy_002140,2
gmy_001904,2
gmy_002168,2
gmy_001940,2
gmy_001947,2
gmy_001941,2
gmy_001942,2
gmy_002134,2
gmy_001906,2
gmy_002133,2
gmy_001950,2
gmy_001951,2
gmy_002132,2
gmy_002130,2
gmy_001953,2
gmy_001955,2
gmy_002128,2
gmy_001958,2
gmy_001959,2
gmy_001938,2
gmy_001912,2
gmy_002162,2
gmy_002150,2
gmy_001925,2
gmy_001926,2
gmy_001927,2
gmy_001922,2
gmy_002155,2
gmy_001928,2
gmy_002152,2
gmy_001921,2
gmy_001930,2
gmy_001931,2
gmy_001962,2
gmy_001920,2
gmy_001908,2
gmy_001933,2
gmy_002160,2
gmy_001934,2
gmy_001918,2
gmy_001917,2
gmy_001936,2
gmy_002149,2
gmy_002148,2
gmy_001916,2
gmy_001915,2
gmy_001923,2
gmy_001960,2
gmy_002074,2
gmy_002126,2
gmy_001964,2
gmy_002107,2
gmy_002102,2
gmy_002101,2
gmy_002027,2
gmy_002037,2
gmy_002040,2
gmy_002041,2
gmy_002042,2
gmy_002043,2
gmy_002100,2
gmy_002098,2
gmy_002097,2
gmy_002053,2
gmy_002054,2
gmy_002096,2
gmy_002091,2
gmy_002090,2
gmy_002056,2
gmy_002058,2
gmy_002088,2
gmy_002059,2
gmy_002061,2
gmy_002085,2
gmy_002063,2
gmy_002084,2
gmy_002078,2
gmy_002064,2
gmy_002077,2
gmy_002076,2
gmy_002024,2
gmy_002023,2
gmy_002108,2
gmy_002067,2
gmy_001965,2
gmy_001974,2
gmy_001978,2
gmy_001979,2
gmy_001983,2
gmy_001984,2
gmy_001987,2
gmy_002124,2
gmy_001993,2
gmy_002121,2
gmy_001997,2
gmy_001998,2
gmy_002120,2
gmy_002000,2
gmy_002022,2
gmy_002002,2
gmy_002004,2
gmy_002007,2
gmy_002009,2
gmy_002119,2
gmy_002011,2
gmy_002112,2
gmy_002012,2
gmy_002111,2
gmy_002013,2
gmy_002019,2
gmy_002110,2
gmy_002020,2
gmy_002050,2
gmy_001850,2
gmy_001898,2
gmy_001638,2
gmy_001658,2
gmy_001656,2
gmy_001652,2
gmy_001651,2
gmy_001649,2
gmy_001647,2
gmy_001646,2
gmy_001644,2
gmy_001637,2
gmy_001662,2
gmy_001634,2
gmy_001633,2
gmy_001632,2
gmy_001631,2
gmy_001630,2
gmy_001629,2
gmy_001628,2
gmy_001625,2
gmy_001660,2
gmy_001665,2
gmy_001718,2
gmy_001700,2
gmy_001714,2
gmy_001713,2
gmy_001712,2
gmy_001709,2
gmy_001707,2
gmy_001704,2
gmy_001703,2
gmy_001702,2
gmy_001697,2
gmy_001666,2
gmy_001690,2
gmy_001684,2
gmy_001681,2
gmy_001679,2
gmy_001678,2
gmy_001676,2
gmy_001669,2
gmy_001668,2
gmy_001616,2
gmy_001613,2
gmy_001611,2
gmy_001549,2
gmy_001565,2
gmy_001563,2
gmy_001561,2
gmy_001560,2
gmy_001559,2
gmy_001557,2
gmy_001555,2
gmy_001551,2
gmy_001547,2
gmy_001610,2
gmy_001546,2
gmy_001544,2
gmy_001542,2
gmy_001541,2
gmy_001538,2
gmy_001535,2
gmy_001534,2
gmy_001533,2
gmy_001574,2
gmy_001575,2
gmy_001576,2
gmy_001578,2
gmy_001609,2
gmy_001607,2
gmy_001606,2
gmy_001605,2
gmy_001602,2
gmy_001601,2
gmy_001600,2
gmy_001599,2
gmy_001598,2
gmy_001597,2
gmy_001596,2
gmy_001593,2
gmy_001586,2
gmy_001584,2
gmy_001583,2
gmy_001581,2
gmy_001580,2
gmy_001717,2
gmy_001720,2
gmy_001897,2
gmy_001845,2
gmy_001861,2
gmy_001860,2
gmy_001856,2
gmy_001855,2
gmy_001854,2
gmy_001852,2
gmy_002174,2
gmy_001847,2
gmy_001843,2
gmy_001867,2
gmy_001842,2
gmy_001841,2
gmy_001838,2
gmy_001837,2
gmy_001836,2
gmy_001835,2
gmy_001829,2
gmy_001828,2
gmy_001865,2
gmy_001868,2
gmy_001721,2
gmy_001886,2
gmy_001896,2
gmy_001895,2
gmy_001894,2
gmy_001892,2
gmy_001890,2
gmy_001889,2
gmy_001888,2
gmy_001887,2
gmy_001884,2
gmy_001869,2
gmy_001883,2
gmy_001882,2
gmy_001881,2
gmy_001875,2
gmy_001874,2
gmy_001872,2
gmy_001871,2
gmy_001870,2
gmy_001826,2
gmy_001823,2
gmy_001816,2
gmy_001754,2
gmy_001773,2
gmy_001771,2
gmy_001770,2
gmy_001769,2
gmy_001765,2
gmy_001759,2
gmy_001758,2
gmy_001757,2
gmy_001750,2
gmy_001815,2
gmy_001746,2
gmy_001740,2
gmy_001737,2
gmy_001733,2
gmy_001730,2
gmy_001728,2
gmy_001727,2
gmy_001724,2
gmy_001779,2
gmy_001785,2
gmy_001786,2
gmy_001789,2
gmy_001814,2
gmy_001813,2
gmy_001812,2
gmy_001810,2
gmy_001808,2
gmy_001807,2
gmy_001806,2
gmy_001805,2
gmy_001802,2
gmy_001801,2
gmy_001800,2
gmy_001798,2
gmy_001797,2
gmy_001794,2
gmy_001792,2
gmy_001791,2
gmy_001790,2
gmy_002171,2
gmy_002258,2
gmy_002180,2
gmy_002701,2
gmy_002724,2
gmy_002723,2
gmy_002721,2
gmy_002715,2
gmy_002714,2
gmy_002712,2
gmy_002711,2
gmy_002707,2
gmy_002699,2
gmy_002731,2
gmy_002698,2
gmy_002694,2
gmy_002693,2
gmy_002691,2
gmy_002690,2
gmy_002687,2
gmy_002685,2
gmy_002681,2
gmy_002726,2
gmy_002744,2
gmy_002590,2
gmy_002766,2
gmy_002786,2
gmy_002784,2
gmy_002781,2
gmy_002775,2
gmy_002773,2
gmy_002770,2
gmy_002769,2
gmy_002768,2
gmy_002764,2
gmy_002746,2
gmy_002763,2
gmy_002759,2
gmy_002758,2
gmy_002756,2
gmy_002755,2
gmy_002754,2
