query_language,search_corpus,switch_band,rr,r1,ndcg5
fra,track_a,high,0.5601487772862448,0.4595744680851064,0.5551088334314576
fra,track_a,medium,0.5622790233884145,0.48148148148148145,0.5445343924540309
fra,track_ab,high,0.7410581388476283,0.6553191489361702,0.7485004987782156
fra,track_ab,medium,0.8476906118572786,0.774074074074074,0.8689904468479946
fra,track_b,high,0.5395867301393774,0.451063829787234,0.5297797079691011
fra,track_b,medium,0.569570886931998,0.4925925925925926,0.5486484624263382
lin,track_a,high,0.8198989453970312,0.7692307692307693,0.8245421895303219
lin,track_a,medium,0.9195180128513463,0.8814814814814815,0.9279841584529406
lin,track_ab,high,0.7102367916533004,0.6230769230769231,0.717109762182707
lin,track_ab,medium,0.8264163614163614,0.7481481481481481,0.8508118412136321
lin,track_b,high,0.27161546707242107,0.13846153846153847,0.2503303497075275
lin,track_b,medium,0.20511010473428773,0.08148148148148149,0.15917150531508004
swa,track_a,high,0.2883248150542268,0.136,0.2711281677681772
swa,track_a,medium,0.20403885858564222,0.08148148148148149,0.16108462645512128
swa,track_ab,high,0.750464509186293,0.664,0.760126060772768
swa,track_ab,medium,0.8686307519640853,0.8,0.8871690524823571
swa,track_b,high,0.8278279998879688,0.78,0.8312537060510359
swa,track_b,medium,0.9338271604938271,0.9037037037037037,0.9381254195375965
